text,label
Biting your lip or cheek when stressed,Bad habit
Finding ways to reduce plastic waste by using reusable items,Good Habit
Not being mindful of your environmental impact,Bad habit
Learning a new skill or hobby to promote personal growth and development,Good Habit
Being open to constructive feedback and criticism,Good Habit
Being too attached to your phone,Bad habit
Not saving money regularly,Bad habit
Staying informed about current events and issues,Good Habit
Listening to music or a podcast while doing chores,Good Habit
Using a planner or calendar to stay organized,Good Habit
Taking calculated risks,Good Habit
Leaving lights on when you leave a room,Bad habit
Finding ways to incorporate mindfulness into daily routine,Good Habit
Not worrying about things out of one's control,Good Habit
Having a growth mindset,Good Habit
Being too judgmental of yourself,Bad habit
Procrastinating on important tasks,Bad habit
Setting boundaries with others,Good Habit
Not drinking enough water daily,Bad habit
Not spending enough time with loved ones,Bad habit
Not networking enough,Bad habit
Not being open to constructive criticism,Bad habit
Not getting enough fiber in your diet,Bad habit
Being mindful of one's carbon footprint and finding ways to reduce it,Good Habit
Not listening actively in conversations,Bad habit
Listening to one's body and resting when needed,Good Habit
Taking breaks throughout the workday,Good Habit
Not using protection during outdoor activities,Bad habit
Finding ways to stay organized and reduce clutter in living or work spaces,Good Habit
Learning from mistakes,Good Habit
Practicing good dental hygiene by brushing and flossing regularly,Good Habit
Consistently being disorganized and unprepared,Bad habit
Finding ways to reduce noise pollution,Good Habit
Practicing moderation in all things,Good Habit
Not taking time to meditate or relax your mind,Bad habit
Keeping a positive attitude,Good Habit
Taking breaks from technology and social media to focus on self-care,Good Habit
Using negative self-talk regularly,Bad habit
Going to bed at the same time every night,Good Habit
Being proactive in maintaining good health and seeking medical attention when needed,Good Habit
Not being aware of your body language,Bad habit
Taking time to be present with loved ones and connect on a deeper level,Good Habit
Flossing before brushing teeth,Good Habit
Making time for self-reflection and introspection,Good Habit
Getting a good night's sleep,Good Habit
Skipping workouts consistently,Bad habit
"Practicing self-care through meditation, massage, or other relaxation techniques",Good Habit
Interrupting others when they speak,Bad habit
Being consistently negative,Bad habit
Not washing your hands before eating,Bad habit
Being overly critical of yourself,Bad habit
Being a good listener,Good Habit
Constantly complaining about everything,Bad habit
Not getting enough sleep regularly,Bad habit
Not comparing oneself to others,Good Habit
Being mindful of one's energy usage and finding ways to conserve energy,Good Habit
Not setting boundaries for yourself,Bad habit
Not using turn signals while driving,Bad habit
Drinking sugary sodas instead of water,Bad habit
Not procrastinating on important tasks,Good Habit
Not being able to handle rejection,Bad habit
Not getting enough sleep regularly,Bad habit
Not drinking enough water,Bad habit
Complaining excessively,Bad habit
Taking a break from work to stretch every hour,Good Habit
Being patient with oneself and others,Good Habit
Taking responsibility for one's actions,Good Habit
Drinking plenty of water throughout the day,Good Habit
Engaging in negative self-talk regularly,Bad habit
Keeping a positive mindset by focusing on solutions rather than problems,Good Habit
Keeping a gratitude jar or journal,Good Habit
Drinking alcohol in excess,Bad habit
Going for a daily walk or run,Good Habit
Being resistant to trying new experiences and opportunities,Bad habit
Not being able to handle conflict,Bad habit
Taking care of one's physical health,Good Habit
Finding ways to reduce paper waste by using digital resources,Good Habit
Practicing good sleep hygiene by keeping a consistent sleep schedule,Good Habit
Not taking breaks throughout the day,Bad habit
Practicing forgiveness,Good Habit
Being too passive,Bad habit
Not engaging in gossip or negativity,Good Habit
Skipping breakfast every morning,Bad habit
Practicing good dental hygiene by brushing and flossing regularly,Good Habit
Practicing yoga or Pilates,Good Habit
Holding grudges and being unable to forgive others,Bad habit
Laughing more often,Good Habit
Taking time to unplug and disconnect from work responsibilities,Good Habit
Not getting enough exercise,Bad habit
Not being able to handle criticism,Bad habit
Practicing deep breathing exercises,Good Habit
Eating a healthy breakfast every morning,Good Habit
Taking a break from caffeine,Good Habit
Not taking care of your skin,Bad habit
Being proactive in problem-solving to reduce stress and anxiety,Good Habit
Spending time in nature to improve overall well-being,Good Habit
Not taking care of your mental health,Bad habit
Setting aside time for personal growth and development,Good Habit
Not being able to delegate tasks effectively,Bad habit
Being consistently tardy to appointments,Bad habit
Having regular health check-ups and screenings,Good Habit
Learning something new every day,Good Habit
Finding time to relax and unwind,Good Habit
Not drinking enough tea or herbal remedies,Bad habit
Asking for help when needed,Good Habit
Making time for self-education and personal growth,Good Habit
Neglecting annual medical checkups,Bad habit
Not giving yourself enough rest and recovery time,Bad habit
Learning to delegate tasks,Good Habit
Not taking care of your physical appearance,Bad habit
Finding ways to give back to the community,Good Habit
Not being able to focus on important tasks,Bad habit
Being too self-critical,Bad habit
Not standing up for yourself,Bad habit
Setting realistic expectations for oneself,Good Habit
Being consistently disorganized,Bad habit
"Practicing gratitude towards oneself, such as by acknowledging personal accomplishments",Good Habit
Being overly critical and judgmental of yourself,Bad habit
Biting your nails excessively,Bad habit
Not following through with commitments,Bad habit
Not being able to apologize when wrong,Bad habit
Doing a crossword or puzzle every day,Good Habit
Not being able to receive feedback,Bad habit
Eating more fruits and vegetables,Good Habit
Being stubborn and unwilling to compromise,Bad habit
"Finding ways to reduce waste and promote sustainability, such as by recycling or using reusable items",Good Habit
Watching too much TV or Netflix,Bad habit
Failing to express gratitude and appreciation,Bad habit
Smoking cigarettes when stressed,Bad habit
Using natural remedies or alternative therapies to promote good health and well-being,Good Habit
Drinking too much coffee or energy drinks,Bad habit
Using positive affirmations daily,Good Habit
Not being able to admit mistakes,Bad habit
Not practicing safe sex,Bad habit
Eating a variety of healthy foods to provide proper nutrition,Good Habit
Overindulging in caffeine,Bad habit
Being mindful of one's thought patterns and working to reframe negative thoughts,Good Habit
Not taking breaks from work,Bad habit
Setting and respecting personal boundaries with technology use,Good Habit
Learning to handle criticism,Good Habit
Not setting healthy boundaries for yourself and others,Bad habit
"Saying ""thank you"" and ""please"" more often",Good Habit
Interrupting people while they're talking,Bad habit
Procrastinating on important deadlines,Bad habit
Taking the stairs instead of the elevator,Good Habit
